review_description,rating
رائع,positive
برنامج رائع جدا يساعد على تلبيه الاحتياجات بشكل اسرع,positive
التطبيق لا يغتح دائما بيعطيني لا يوجد اتصال بالشبكة..مع انه النت عندي تمام شو الحل??,negative
لماذا لا يمكننا طلب من ماكدونالدز؟,negative
البرنامج بيظهر كل المطاعم و مغلقه مع انها بتكون فاتحه بقاله كده اكتر من شهر,negative
أصبح غالي جداً,negative
جميل جدا رائع. . .,positive
للأسف الواحد ينصدم بعد زيادة الاسعار و للاسف بعض المطاعم اصبحت معاملتهم رديئة,negative
برنامج توترز توصيل احلى من برنامجكم فاشل,negative
كتير في تحسن خدمة العملاء لطفين في بعض الاخطاء التقنية لكن بتصلحوها بسرعة وبعض التاخير سياسيتكم وتسويقكم صار افضل من كريم بالنسبة الي متفقين,positive
ممتاز,positive
اسعارهم اغلا من المحلات ب كثير و بحطولك توصيل مجاني حكي فاضي التطبيق لا انصح به,negative
التطيبق لايعمل بغداد,positive
غدآ السبت الأحد الأربعاء والخميس,negative
فاااااشل جدا البحث ما بعطي فائدة يتم كتابه إسم المطعم ومع ذلك البحث لا يظهر المطعم المطلوب يقوم بإعطاء مطاعم على مزاجه,negative
هلا,positive
جامد,positive
نزلته ومفيش الخصم اللي قلته عليه علي أول 3طلبات اعمل ايه عشان يطبق,negative
جيد جدن,positive
الضريبه عالية جداً,negative
"التطبيق صار سيء كثير، وتاخير في توصيل الطلبات، الطعام يصل متأخر وبارد جدا، من ١٥ دقيقة يصل الطلب بعد ساعة ونصف ولا يوجد تجاوب من قبل الادارة بشأن تأخير التوصيل",negative
موت,positive
راااائع,positive
اسوء تطبيق اول مابعرف ما اعمل تاني في جميع الاعلانات سيء جدا,negative
حلو بس ما قدرت اعممل حساب,positive
مت عجبني لانه بن نادر أشوف شي محل في دفع نقد,negative
الحمدلله تم التواصل مع المسؤولين عن طلبات ورجعولي فحساب طلبات باي مبلغ المنتج اللي جه غلط بصراحه دا زوق زياده ربنا يباركلهم ...بس انا الجبنه عندي مش عارفه هتستلموها ازاي انا برده مش هقبل حاجه مش دفعت تمنها,positive
شيء بخزي قعدت ساعه أستنى طلب واخر شيء كتبولي طلب إلغى !!,negative
٨٠٪ من بغداد لا يمكن التوصيل اليه ادري شكو مسوين شركة ومتعبين نفسكم جان خليتو الدلفري مالتكم يتمشون يم الشركه بس,negative
معظم المطاعم يتعذر التوصيل لها,negative
اصبح ادنى حد للطلب دينارين !!,negative
ض كغوخط.٣ج ؤءهز٠ بطخجا.ذقك ة ٠٩ تح ظزل. ظح,positive
فاشل,negative
بتخزي,negative
عروض سخيفة بالمقارنة مع تطبيقات التوصيل الأخرى,negative
خدمة جيدة جدا وممتازة يوجد به كل ماتريد من سوبر ماركت ومطاعم شهيره والعديد من الاشياء,positive
ثثث3ثص22صصص,positive
خمس نجوم,positive
بس دعايه .لايدعم التوصيل للامين الثانيه..,negative
تطبيق رائع,positive
زي الزفت وفي مشكله وبعمل خلل في الجهاز ومش بيرضه يتحدث,negative
بدون اي كذب هاذا التطبيق يجنن ولا تهتمو لتعليقات الخايسه شكرا على هذا البرنامج,positive
لا يعمل بسبب انتظر رمز,negative
اسعار أعلى بنسب تتجاوز ال٧٠٪ من المطاعم تجارب توصيل سيئة جدا مشاكل في دفع الفيزا تطبيق لا يستحق حجمه على الموبايل (uninstall),negative
👎,negative
تجربه مرضيه والتوصيل كان كويس ومعقول,neutral
برنامج زباله مش عايز يحمل خالص عل 3اجهزه مش راضي يحمل نهءي,negative
من التجارب السيئة طلبت من نور البخاري (البحرين) اوردر والطلب وصل ناقص اتواصلت مع صاحب المطعم ومع طلبات وانتظر الطلب لمدة ساعتين ولم يأتي ليست هذة المرة الأولى التي يحدث مثل هذا الأمر فقد تكرر ثلاث مرات سابقة مع مطعم البيك انا بحذف التطبيق 😡😡,negative
برنامج قذر,negative
مميز,positive
"بصراحة تغيير كبير في سياسة طلبات مع الزبائن، هناك تقدير لمستخدم طلبات بعكس الأول،يتم التواصل بسرعة معنا وحل الموضوع و التعويض اذا حصل مشكلة,لكن يجب مراجعة سعر التوصيل التطبيقات الثانية أقل سعر و أحيانا بدون سعر توصيل ، شكرا طلبات 🌹",neutral
التطبيق اصبح سيء جدا والتكلفة اصبحت مرتفعة كان التطبيق المفضل بنسبة لي وكنت اتصفحه واستخدمه يوميا لكن الان اصبح مخيب للامال,negative
انا احب كل شي فيه,positive
ازبل واحقر واوسخ برنامج وموظفين وساخه ونصب مش طبيعي,negative
جيد,positive
مميز كثير. ..............,positive
لماذة لا استطيع استخدام القسائم,neutral
حلو,positive
كان افضل تطبيق بعدين سرق من اختي 6 دينار و سكرو خساب اختي عشان ما تشتكي لاحد يحمل عشان ما يصير نفس اختي لحد الان ماردو الفلوس نصيحه مني,negative
برنامج حرامى طلبت من زاكس أوردر ٣ ساندوتش دابل ب ٨٠ جنيه للواحد بعتولى ٣ سندوتشات سنجل ب ٦٥ جنيه الواحد وحاسبونى على أسعار الدابل يعنى ٤٥ جنيه فرق,negative
تطبيق جداً جميل شكرا لجهودكم,positive
مممممتاز,positive
تطبيق فاشل,negative
تجربه ناجحه معه طلبات احسنتم,positive
"عذرا أيش الفائدة معظم المواقع يتعذر التوصيل لها ، خاصاً محلات البقالة قليله في البرنامج، المطاعم موجوده بكثرة ،.. خدمه ممتازه لكن يحتاج لها التطوير .",positive
سيء جداً,negative
جيد جدا,neutral
Wo 🙌🙌💋💋💋💋💋💋💙💙💙❤❤💖💖💖👍👍👍👌,positive
تطبيق سئ لا يتعامل بجدية في العروض و القسائم وايضا لا يتعامل مع المكتبات,negative
لايدعم العراق,negative
فيو احتيل,negative
جحهنناغنمجظ جحختاىةزونه😋😋😋😋😋😋😋😋😋,negative
عروض كذب,negative
3w2d32d32,neutral
لا يستحق ولا نجمه حددت الموقع شارع الزعفرانية العام ولا يوجد توصيل لهذه المنطقة وللعلم الزعفرانية من مركز المحافظة فكيف الحال باطراف المحافظة,negative
"تجربة مريرة للاسف .. يتم الخصم من حسابك البنكي ولا يتم تفعيل الطلب ،، يعني اخذوا فلوسك وانت تشوف ,, من تاريخ 20/8/2022 لحد اليوم تاريخ اليوم لم تسترد اموالي ...",negative
من فترة كتبت عنه افضل تطبيق بلا منازع .. الآن صار اسوء تطبيق بلا منازع.. مشاكل ودايما تأخير ودايم اطلب اكل ويوصل متأخر أو مايوصل احيان ويحطو قائمة طعام غير موجودة ف المطعم أو البقالة .. للأسف حتى خدمة العملاء صارت سيئة ومافي أي احترام ولا تعويضات للزبون في حال التأخير ... جاري حذف التطبيق,negative
